Category: All categories

Month,Bitcoin: (Worldwide)
2004-01,2
2004-02,1
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,<1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,<1
2006-10,<1
2006-11,1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,1
2007-09,<1
2007-10,1
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,<1
2009-03,<1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,1
2010-06,1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,1
2011-04,1
2011-05,1
2011-06,3
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,3
2013-04,8
2013-05,3
2013-06,3
2013-07,3
2013-08,3
2013-09,2
2013-10,4
2013-11,12
2013-12,14
2014-01,9
2014-02,10
2014-03,7
2014-04,4
2014-05,4
2014-06,4
2014-07,4
2014-08,4
2014-09,4
2014-10,4
2014-11,3
2014-12,3
2015-01,4
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,3
2015-07,4
2015-08,4
2015-09,4
2015-10,3
2015-11,4
2015-12,4
2016-01,4
2016-02,4
2016-03,4
2016-04,4
2016-05,5
2016-06,6
2016-07,4
2016-08,5
2016-09,4
2016-10,4
2016-11,5
2016-12,5
2017-01,7
2017-02,7
2017-03,8
2017-04,7
2017-05,17
2017-06,18
2017-07,16
2017-08,24
2017-09,24
2017-10,24
2017-11,42
2017-12,100
2018-01,63
2018-02,46
2018-03,27
2018-04,21
2018-05,17
2018-06,15
2018-07,15
2018-08,14
2018-09,14
2018-10,11
2018-11,15
2018-12,15
2019-01,11
2019-02,11
2019-03,10
2019-04,14
2019-05,19
2019-06,23
2019-07,22
2019-08,26
2019-09,82
2019-10,15
2019-11,13
2019-12,12
2020-01,15
2020-02,15
2020-03,22
2020-04,19
2020-05,23
2020-06,16
2020-07,17
2020-08,19
2020-09,15
2020-10,16
2020-11,28
2020-12,36
2021-01,71
2021-02,74
2021-03,54
2021-04,58
2021-05,72
2021-06,54
2021-07,37
2021-08,38
2021-09,36
2021-10,45
2021-11,40
2021-12,40
2022-01,51
2022-02,43
2022-03,37
2022-04,29
2022-05,42
2022-06,48
2022-07,37
2022-08,27
2022-09,27
2022-10,21
2022-11,30
2022-12,22
2023-01,25
2023-02,18
2023-03,28
2023-04,26
2023-05,23
2023-06,23
2023-07,22
2023-08,21
2023-09,18
2023-10,23
2023-11,25
2023-12,30
2024-01,34
2024-02,34
2024-03,53
2024-04,40
2024-05,28
2024-06,24
2024-07,28
2024-08,29
2024-09,23
2024-10,24
2024-11,57
2024-12,52
2025-01,41
2025-02,35
2025-03,50
